id,shape
1220024701,"2642.31,1748.42 2540.43,2036.98"
1220024702,"2531.66,2061.89 2495.05,2166.25"
1220024801,"4002.63,1866.24 4051.43,1749.44"
1220024802,"3896.81,2129.44 3992.66,1890.61"
1220024803,"3872.96,2189.16 3887.01,2153.96"
1220024901,"4071.35,1757.76 4022.56,1874.57"
1220024902,"4012.71,1898.66 3916.86,2137.49"
1220024903,"3907.06,2161.96 3893.01,2197.16"
1220025002,"1048.22,1857.53 1100.44,1712.87"
1220025003,"854.01,2405.03 1048.52,1866.14"
1220025102,"1132.80,1724.54 1080.58,1869.21"
1220025103,"1074.86,1875.65 880.35,2414.53"
1220025201,"2064.74,2050.07 1966.03,2015.06"
1220025202,"2313.15,2140.75 2092.43,2060.05"
1220025203,"2448.04,2188.74 2340.68,2150.65"
1220025301,"1975.38,1988.67 2074.10,2023.68"
1220025302,"2102.05,2033.76 2322.76,2114.46"
1220025303,"2350.04,2124.27 2457.40,2162.35"
1220025401,"3329.55,2005.91 3198.20,1953.93"
1220025402,"3687.67,2143.95 3354.11,2015.49"
1220025403,"3855.63,2208.53 3712.32,2153.43"
1220025501,"3203.79,1939.80 3335.14,1991.78"
1220025502,"3359.57,2001.31 3693.13,2129.76"
1220025503,"3717.77,2139.24 3861.08,2194.35"
1220025601,"4733.89,2000.54 4672.53,1978.01"
1220025602,"5110.91,2146.56 4758.82,2009.91"
1220025701,"4679.98,1957.73 4741.34,1980.26"
1220025702,"4766.63,1989.77 5118.73,2126.42"
1220025801,"3153.67,2000.94 3170.33,1953.24"
1220025802,"3086.11,2193.69 3144.96,2025.85"
1220025803,"3056.36,2279.46 3077.11,2219.54"
1220025804,"3030.06,2355.44 3047.72,2304.41"
1220025901,"3184.68,1958.25 3168.03,2005.95"
1220025902,"3159.31,2030.88 3100.46,2198.72"
1220025903,"3091.47,2224.51 3070.72,2284.43"
1220025904,"3062.09,2309.38 3044.42,2360.41"
1220026002,"2850.30,2333.15 2621.42,2250.29"
1220026003,"3009.59,2387.33 2876.14,2342.19"
1220026004,"2593.68,2240.34 2558.38,2227.84"
1220026005,"2533.49,2219.02 2491.16,2204.03"
1220026102,"2630.95,2223.96 2859.83,2306.82"
1220026103,"2885.11,2315.67 3018.56,2360.80"
1220026104,"2500.50,2177.64 2542.84,2192.63"
1220026105,"2567.72,2201.44 2603.03,2213.94"
1220026201,"1895.93,2126.41 1934.37,2013.52"
1220026202,"1842.86,2275.44 1885.84,2155.18"
1220026203,"1694.51,2700.41 1724.68,2614.22 1834.00,2300.53"
1220026301,"1954.82,2020.49 1916.37,2133.37"
1220026302,"1906.18,2162.44 1863.20,2282.71"
1220026303,"1854.40,2307.63 1745.07,2621.34 1714.89,2707.55"
1220026400,"4432.31,2431.13 4233.50,2354.78 3892.49,2222.75"
1220026500,"3897.98,2208.58 4238.97,2340.60 4437.76,2416.93"
1220026601,"3842.21,2265.50 3860.59,2219.96"
1220026602,"3766.40,2454.09 3832.34,2289.99"
1220026603,"3706.54,2604.13 3756.60,2478.59"
1220026701,"3880.62,2228.04 3862.24,2273.59"
1220026702,"3852.39,2298.05 3786.45,2462.14"
1220026703,"3776.66,2486.59 3726.61,2612.13"
1220026801,"3170.33,2448.70 3040.62,2398.57"
1220026802,"3360.90,2518.28 3195.67,2458.21"
1220026803,"3552.75,2588.26 3385.71,2527.31"
1220026804,"3684.16,2635.99 3577.61,2597.30"
1220026901,"3050.71,2372.46 3180.42,2422.59"
1220026902,"3205.24,2431.89 3370.47,2491.97"
1220026903,"3395.31,2501.01 3562.34,2561.95"
1220026904,"3587.17,2570.98 3693.72,2609.66"
1220027001,"4620.29,2505.28 4478.10,2448.99"
1220027002,"4664.50,2629.99 4659.74,2596.96 4653.27,2559.49 4645.13,2523.07 4641.70,2514.96 4640.87,2514.22"
1220027101,"4483.69,2434.87 4625.88,2491.16"
1220027102,"4651.01,2502.90 4654.36,2505.91 4659.66,2518.41 4668.19,2556.54 4674.75,2594.58 4679.55,2627.82"
1220027201,"915.92,2459.23 878.57,2446.17"
1220027202,"1139.78,2537.53 940.84,2467.95"
1220027203,"1676.10,2726.23 1164.70,2546.28"
1220027301,"885.70,2425.78 923.05,2438.84"
1220027302,"947.97,2447.56 1146.92,2517.14"
1220027303,"1171.87,2525.90 1683.27,2705.86"
1220027401,"2404.23,2341.10 2453.51,2200.17"
1220027402,"2361.99,2465.96 2394.49,2369.42"
1220027403,"2183.22,2736.88 2289.11,2597.11 2325.01,2547.96 2340.02,2520.47 2350.21,2496.28"
1220027404,"2111.11,2834.31 2160.29,2767.58"
1220027501,"2479.93,2209.41 2430.67,2350.34"
1220027502,"2421.03,2378.35 2388.53,2474.90"
1220027503,"2376.34,2506.36 2365.29,2532.64 2348.71,2562.99 2311.58,2613.83 2205.54,2753.79"
1220027504,"2182.83,2784.19 2133.64,2850.92"
1220027601,"2980.75,2496.35 3014.96,2398.77"
1220027602,"2876.85,2645.99 2891.86,2634.05 2914.79,2612.93 2931.60,2594.60 2946.20,2572.25 2958.49,2552.35 2971.27,2521.26"
1220027603,"2585.41,3010.58 2611.01,2917.06 2621.38,2890.59 2638.14,2860.32 2658.05,2832.37 2677.63,2808.08 2701.13,2786.34 2740.90,2755.70 2847.03,2669.76"
1220027701,"3029.30,2403.79 2995.09,2501.38"
1220027702,"2985.33,2527.05 2972.07,2559.28 2959.03,2580.40 2943.65,2603.94 2925.55,2623.67 2901.75,2645.61 2886.32,2657.89"
1220027703,"2856.60,2681.58 2750.32,2767.63 2710.94,2797.95 2688.76,2818.47 2670.18,2841.56 2651.03,2868.43 2635.17,2897.07 2625.46,2921.84 2600.07,3014.59"
1220027801,"795.16,2561.79 837.74,2441.11"
1220027802,"747.61,2704.66 788.80,2589.22"
1220027803,"593.32,3143.52 740.77,2733.17"
1220027901,"867.17,2451.49 824.59,2572.17"
1220027902,"815.17,2598.63 773.98,2714.07"
1220027903,"764.10,2741.56 616.66,3151.91"
1220028002,"4168.39,2812.83 3970.46,2740.66"
